Rank,Film Title,Year,Rating,Director,Actors
1, Shawshank Redemption,1994,9.2,Frank Darabont ," Tim Robbins,  Morgan Freeman"
2, Godfather,1972,9.1,Francis Ford Coppola ," Marlon Brando,  Al Pacino"
3, Godfather: Part II,1974,9,Francis Ford Coppola ," Al Pacino,  Robert De Niro"
4, Dark Knight,2008,9,Christopher Nolan ," Christian Bale,  Heath Ledger"
5,12 Angry Men,1957,8.9,Sidney Lumet ," Henry Fonda,  Lee J. Cobb"
6,Schindler's List,1993,8.9,Steven Spielberg ," Liam Neeson,  Ralph Fiennes"
7, Lord of the Rings:  Return of the King,2003,8.9,Peter Jackson ," Elijah Wood,  Viggo Mortensen"
8,Pulp Fiction,1994,8.8,Quentin Tarantino ," John Travolta,  Uma Thurman"
9," Good, the Bad and the Ugly",1966,8.8,Sergio Leone ," Clint Eastwood,  Eli Wallach"
10, Lord of the Rings:  Fellowship of the Ring,2001,8.8,Peter Jackson ," Elijah Wood,  Ian McKellen"
11,Fight Club,1999,8.8,David Fincher ," Brad Pitt,  Edward Norton"
12,Forrest Gump,1994,8.7,Robert Zemeckis ," Tom Hanks,  Robin Wright"
13,Inception,2010,8.7,Christopher Nolan ," Leonardo DiCaprio,  Joseph Gordon-Levitt"
14, Lord of the Rings:  Two Towers,2002,8.7,Peter Jackson ," Elijah Wood,  Ian McKellen"
15,Star Wars: Episode V -  Empire Strikes Back,1980,8.7,Irvin Kershner ," Mark Hamill,  Harrison Ford"
16, Matrix,1999,8.6,Lana Wachowski ," Keanu Reeves,  Laurence Fishburne"
17,Goodfellas,1990,8.6,Martin Scorsese ," Robert De Niro,  Ray Liotta"
18,One Flew Over the Cuckoo's Nest,1975,8.6,Milos Forman ," Jack Nicholson,  Louise Fletcher"
19,Seven Samurai,1954,8.6,Akira Kurosawa ," Toshirô Mifune,  Takashi Shimura"
20,Se7en,1995,8.6,David Fincher ," Morgan Freeman,  Brad Pitt"
21, Silence of the Lambs,1991,8.6,Jonathan Demme ," Jodie Foster,  Anthony Hopkins"
22,City of God,2002,8.6,Fernando Meirelles ," Alexandre Rodrigues,  Leandro Firmino"
23,Life Is Beautiful,1997,8.6,Roberto Benigni ," Roberto Benigni,  Nicoletta Braschi"
24,It's a Wonderful Life,1946,8.6,Frank Capra ," James Stewart,  Donna Reed"
25,Star Wars: Episode IV - A New Hope,1977,8.6,George Lucas ," Mark Hamill,  Harrison Ford"
26,Saving Private Ryan,1998,8.6,Steven Spielberg ," Tom Hanks,  Matt Damon"
27,Interstellar,2014,8.5,Christopher Nolan ," Matthew McConaughey,  Anne Hathaway"
28,Spirited Away,2001,8.5,Hayao Miyazaki ," Daveigh Chase,  Suzanne Pleshette"
29, Green Mile,1999,8.5,Frank Darabont ," Tom Hanks,  Michael Clarke Duncan"
30,Parasite,2019,8.5,Bong Joon Ho ," Kang-ho Song,  Sun-kyun Lee"
31,Léon:  Professional,1994,8.5,Luc Besson ," Jean Reno,  Gary Oldman"
32,Hara-Kiri,1962,8.5,Masaki Kobayashi ," Tatsuya Nakadai,  Akira Ishihama"
33, Pianist,2002,8.5,Roman Polanski ," Adrien Brody,  Thomas Kretschmann"
34, Usual Suspects,1995,8.5,Bryan Singer ," Kevin Spacey,  Gabriel Byrne"
35,Terminator 2: Judgment Day,1991,8.5,James Cameron ," Arnold Schwarzenegger,  Linda Hamilton"
36,Back to the Future,1985,8.5,Robert Zemeckis ," Michael J. Fox,  Christopher Lloyd"
37,Psycho,1960,8.5,Alfred Hitchcock ," Anthony Perkins,  Janet Leigh"
38, Lion King,1994,8.5,Roger Allers ," Matthew Broderick,  Jeremy Irons"
39,Modern Times,1936,8.5,Charles Chaplin ," Charles Chaplin,  Paulette Goddard"
40,American History X,1998,8.5,Tony Kaye ," Edward Norton,  Edward Furlong"
41,City Lights,1931,8.5,Charles Chaplin ," Charles Chaplin,  Virginia Cherrill"
42,Grave of the Fireflies,1988,8.5,Isao Takahata ," Tsutomu Tatsumi,  Ayano Shiraishi"
43,Whiplash,2014,8.5,Damien Chazelle ," Miles Teller,  J.K. Simmons"
44,Gladiator,2000,8.5,Ridley Scott ," Russell Crowe,  Joaquin Phoenix"
45, Departed,2006,8.5,Martin Scorsese ," Leonardo DiCaprio,  Matt Damon"
46, Intouchables,2011,8.5,Olivier Nakache ," François Cluzet,  Omar Sy"
47, Prestige,2006,8.5,Christopher Nolan ," Christian Bale,  Hugh Jackman"
48,Casablanca,1942,8.4,Michael Curtiz ," Humphrey Bogart,  Ingrid Bergman"
49,Once Upon a Time in the West,1968,8.4,Sergio Leone ," Henry Fonda,  Charles Bronson"
50,Rear Window,1954,8.4,Alfred Hitchcock ," James Stewart,  Grace Kelly"
51,Cinema Paradiso,1988,8.4,Giuseppe Tornatore ," Philippe Noiret,  Enzo Cannavale"
52,Alien,1979,8.4,Ridley Scott ," Sigourney Weaver,  Tom Skerritt"
53,Apocalypse Now,1979,8.4,Francis Ford Coppola ," Martin Sheen,  Marlon Brando"
54,Memento,2000,8.4,Christopher Nolan ," Guy Pearce,  Carrie-Anne Moss"
55,Indiana Jones and the Raiders of the Lost Ark,1981,8.4,Steven Spielberg ," Harrison Ford,  Karen Allen"
56, Great Dictator,1940,8.4,Charles Chaplin ," Charles Chaplin,  Paulette Goddard"
57, Lives of Others,2006,8.4,Florian Henckel von Donnersmarck ," Ulrich Mühe,  Martina Gedeck"
58,Django Unchained,2012,8.4,Quentin Tarantino ," Jamie Foxx,  Christoph Waltz"
59,Paths of Glory,1957,8.4,Stanley Kubrick ," Kirk Douglas,  Ralph Meeker"
60,Sunset Blvd.,1950,8.4,Billy Wilder ," William Holden,  Gloria Swanson"
61,WALL·E,2008,8.4,Andrew Stanton ," Ben Burtt,  Elissa Knight"
62,Avengers: Infinity War,2018,8.4,Anthony Russo ," Robert Downey Jr.,  Chris Hemsworth"
63, Shining,1980,8.4,Stanley Kubrick ," Jack Nicholson,  Shelley Duvall"
64,Witness for the Prosecution,1957,8.4,Billy Wilder ," Tyrone Power,  Marlene Dietrich"
65,Spider-Man: Into the Spider-Verse,2018,8.4,Bob Persichetti ," Shameik Moore,  Jake Johnson"
66,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,Stanley Kubrick ," Peter Sellers,  George C. Scott"
67,Joker,2019,8.3,Todd Phillips ," Joaquin Phoenix,  Robert De Niro"
68,Princess Mononoke,1997,8.3,Hayao Miyazaki ," Yôji Matsuda,  Yuriko Ishida"
69,Oldboy,2003,8.3,Park Chan-Wook ," Choi Min-sik,  Yoo Ji-Tae"
70,Your Name.,2016,8.3,Makoto Shinkai ," Ryûnosuke Kamiki,  Mone Kamishiraishi"
71, Dark Knight Rises,2012,8.3,Christopher Nolan ," Christian Bale,  Tom Hardy"
