Rank,Film Title,Year,Genre,Revenue (Millions),Tickets Sold
1,Shang-Chi and the Legend of…,2021,Action,"209,426,765","22,863,183"
2,Black Widow,2021,Action,"183,638,459","20,047,866"
3,F9: Fast Saga,2021,Action,"173,005,945","18,887,111"
4,A Quiet Place: Part II,2021,Horror,"160,072,261","17,475,137"
5,Free Guy,2021,Action,"118,731,287","12,961,930"
6,Venom: Let re be Carnage,2021,Action,"118,515,616","12,938,386"
7,Jungle Cruise,2021,Adventure,"116,387,419","12,706,050"
8,Godzilla vs. Kong,2021,Action,"100,563,133","10,978,507"
9,Cruella,2021,Comedy,"86,103,234","9,399,916"
10,Space Jam: A New Legacy,2021,Comedy,"70,505,446","7,697,101"
11,Conjuring: Devil Ma…,2021,Horror,"65,565,074","7,157,759"
12,Candyman,2021,Horror,"59,583,075","6,504,702"
13,Boss Baby: Family Business,2021,Adventure,"57,265,895","6,251,735"
14,Suicide Squad,2021,Action,"55,789,082","6,090,511"
15,Raya and the Last Dragon,2021,Adventure,"54,723,032","5,974,130"
16,Old,2021,Thriller/Suspense,"48,224,320","5,264,663"
17,Demon Slayer Movie: Mug…,2021,Adventure,"47,700,000","5,207,423"
18,Tom and Jerry,2021,Adventure,"46,000,271","5,021,863"
19,Forever Purge,2021,Horror,"44,539,245","4,862,362"
20,Mortal Kombat,2021,Action,"42,201,013","4,607,097"
21,Peter Rabbit 2: Runaway,2021,Adventure,"40,391,464","4,409,548"
22,PAW Patrol: Movie,2021,Adventure,"39,868,471","4,352,453"
23,Hitman’s Wife’s Bodygua…,2021,Comedy,"38,014,727","4,150,079"
24,Don’t Breathe 2,2021,Horror,"32,523,535","3,550,604"
25,In the Heights,2021,Musical,"29,879,041","3,261,904"
26,Snake Eyes: G.I. Joe Origins,2021,Action,"28,264,325","3,085,625"
27,Wrath of Man,2021,Action,"27,466,489","2,998,525"
28,Nobody,2021,Thriller/Suspense,"27,268,035","2,976,859"
29,Escape Room: Tournament of …,2021,Horror,"25,188,958","2,749,886"
30,Respect,2021,Drama,"24,223,457","2,644,482"
31,Croods: A New Age,2020,Adventure,"24,010,100","2,621,189"
32,Addams Family 2,2021,Adventure,"23,895,022","2,608,626"
33,No Time to Die,2021,Action,"23,300,401","2,543,711"
34,Spiral,2021,Horror,"23,216,862","2,534,591"
35,Wonder Woman 1984,2020,Action,"18,030,051","1,968,346"
36,Spirit Untamed,2021,Adventure,"17,635,215","1,925,241"
37,Green Knight,2021,Adventure,"17,173,321","1,874,816"
38,Marksman,2021,Action,"15,566,093","1,699,355"
39,Unholy,2021,Horror,"15,530,440","1,695,462"
40,Little Things,2021,Thriller/Suspense,"15,245,157","1,664,318"
41,Stillwater,2020,Drama,"14,465,535","1,579,206"
42,Chaos Walking,2021,Action,"13,287,908","1,450,644"
43,Malignant,2021,Horror,"13,203,983","1,441,482"
44,Dear Evan Hansen,2021,Musical,"12,996,130","1,418,791"
45,Cry Macho,2021,Drama,"9,882,054","1,078,826"
46,Monster Hunter,2020,Action,"8,822,409","963,145"
47,Dazed and Confused,1993,Comedy,"7,961,889","869,201"
48,Protégé,2021,Action,"7,446,823","812,971"
49,Those Who Wish Me Dead,2021,Thriller/Suspense,"7,347,103","802,085"
50,News of the World,2020,Western,"7,260,975","792,682"
51,Night House,2021,Horror,"7,091,044","774,131"
52,Courier,2021,Thriller/Suspense,"6,613,432","721,990"
53,Many Saints of Newark,2021,Drama,"5,957,052","650,333"
54,Judas and the Black Messiah,2021,Drama,"5,453,633","595,374"
55,Roadrunner: A Film About An…,2021,Documentary,"5,249,970","573,140"
56,CopShop,2021,Action,"5,151,935","562,438"
57,Zola,2021,Drama,"4,844,399","528,864"
58,Promising Young Woman,2020,Black Comedy,"4,564,885","498,349"
59,Separation,2021,Horror,"4,509,143","492,264"
60,Boogie,2021,Drama,"4,178,620","456,181"
61,Reminiscence,2021,Thriller/Suspense,"3,900,193","425,785"
62,12 Mighty Orphans,2021,Drama,"3,686,295","402,433"
63,Fatale,2020,Thriller/Suspense,"3,217,203","351,223"
64,Pig,2021,Drama,"3,186,667","347,889"
65,Girl Who Believes In Mi…,2021,Drama,"3,163,362","345,345"
66,Voyagers,2021,Thriller/Suspense,"3,149,935","343,879"
67,Minari,2020,Drama,"2,964,816","323,669"
68,Dream Horse,2021,Drama,"2,913,328","318,048"
